ID,parent_ID,ItemNumber,Material,MaterialDescription,Quantity,UnitOfMeasure,StorageLocation,Batch,Plant
c50e8400-e29b-41d4-a716-446655440001,950e8400-e29b-41d4-a716-446655440001,10,MAT001-01,Steel Structure,1,EA,SL01,BATCH001,P001
c50e8400-e29b-41d4-a716-446655440002,950e8400-e29b-41d4-a716-446655440001,20,MAT001-02,Glass Panels,500,SQM,SL01,BATCH002,P001
c50e8400-e29b-41d4-a716-446655440003,950e8400-e29b-41d4-a716-446655440002,10,MAT002-01,CNC Machine Base,1,EA,SL02,BATCH003,P002
c50e8400-e29b-41d4-a716-446655440004,950e8400-e29b-41d4-a716-446655440002,20,MAT002-02,Control System,1,EA,SL02,BATCH004,P002
c50e8400-e29b-41d4-a716-446655440005,950e8400-e29b-41d4-a716-446655440003,10,MAT003-01,Truck Chassis,1,EA,SL01,BATCH005,P001
c50e8400-e29b-41d4-a716-446655440006,950e8400-e29b-41d4-a716-446655440003,20,MAT003-02,Cargo Box,1,EA,SL01,BATCH006,P001
c50e8400-e29b-41d4-a716-446655440007,950e8400-e29b-41d4-a716-446655440004,10,MAT004-01,Server Unit,5,EA,SL03,BATCH007,P003
c50e8400-e29b-41d4-a716-446655440008,950e8400-e29b-41d4-a716-446655440004,20,MAT004-02,Network Switch,10,EA,SL03,BATCH008,P003
c50e8400-e29b-41d4-a716-446655440009,950e8400-e29b-41d4-a716-446655440005,10,MAT005-01,Office Desk,50,EA,SL01,BATCH009,P001
c50e8400-e29b-41d4-a716-446655440010,950e8400-e29b-41d4-a716-446655440005,20,MAT005-02,Office Chair,50,EA,SL01,BATCH010,P001
