ID,parent_ID,ItemNumber,Material,MaterialDescription,Quantity,UnitOfMeasure,UnitPrice,NetAmount,TaxAmount,GrossAmount
d50e8400-e29b-41d4-a716-446655440001,b50e8400-e29b-41d4-a716-446655440001,10,MAT001-01,Steel Structure,1,EA,2000000.00,2000000.00,380000.00,2380000.00
d50e8400-e29b-41d4-a716-446655440002,b50e8400-e29b-41d4-a716-446655440001,20,MAT001-02,Glass Panels,500,SQM,1000.00,500000.00,95000.00,595000.00
d50e8400-e29b-41d4-a716-446655440003,b50e8400-e29b-41d4-a716-446655440002,10,MAT002-01,CNC Machine Base,1,EA,150000.00,150000.00,28500.00,178500.00
d50e8400-e29b-41d4-a716-446655440004,b50e8400-e29b-41d4-a716-446655440002,20,MAT002-02,Control System,1,EA,100000.00,100000.00,19000.00,119000.00
d50e8400-e29b-41d4-a716-446655440005,b50e8400-e29b-41d4-a716-446655440003,10,MAT003-01,Truck Chassis,1,EA,35000.00,35000.00,6650.00,41650.00
d50e8400-e29b-41d4-a716-446655440006,b50e8400-e29b-41d4-a716-446655440003,20,MAT003-02,Cargo Box,1,EA,10000.00,10000.00,1900.00,11900.00
d50e8400-e29b-41d4-a716-446655440007,b50e8400-e29b-41d4-a716-446655440004,10,MAT004-01,Server Unit,5,EA,12000.00,60000.00,11400.00,71400.00
d50e8400-e29b-41d4-a716-446655440008,b50e8400-e29b-41d4-a716-446655440004,20,MAT004-02,Network Switch,10,EA,1500.00,15000.00,2850.00,17850.00
d50e8400-e29b-41d4-a716-446655440009,b50e8400-e29b-41d4-a716-446655440005,10,MAT005-01,Office Desk,50,EA,600.00,30000.00,5700.00,35700.00
d50e8400-e29b-41d4-a716-446655440010,b50e8400-e29b-41d4-a716-446655440005,20,MAT005-02,Office Chair,50,EA,200.00,10000.00,1900.00,11900.00
