ID,parent_ID,ItemNumber,Material,MaterialDescription,OrderQuantity,UnitOfMeasure,NetPrice,TotalAmount,DeliveryDate,Plant
a50e8400-e29b-41d4-a716-446655440001,750e8400-e29b-41d4-a716-446655440001,10,MAT001-01,Steel Structure,1,EA,2000000.00,2000000.00,2024-06-01,P001
a50e8400-e29b-41d4-a716-446655440002,750e8400-e29b-41d4-a716-446655440001,20,MAT001-02,Glass Panels,500,SQM,1000.00,500000.00,2024-06-15,P001
a50e8400-e29b-41d4-a716-446655440003,750e8400-e29b-41d4-a716-446655440002,10,MAT002-01,CNC Machine Base,1,EA,150000.00,150000.00,2024-07-01,P002
a50e8400-e29b-41d4-a716-446655440004,750e8400-e29b-41d4-a716-446655440002,20,MAT002-02,Control System,1,EA,100000.00,100000.00,2024-07-15,P002
a50e8400-e29b-41d4-a716-446655440005,750e8400-e29b-41d4-a716-446655440003,10,MAT003-01,Truck Chassis,1,EA,35000.00,35000.00,2024-08-01,P001
a50e8400-e29b-41d4-a716-446655440006,750e8400-e29b-41d4-a716-446655440003,20,MAT003-02,Cargo Box,1,EA,10000.00,10000.00,2024-08-10,P001
a50e8400-e29b-41d4-a716-446655440007,750e8400-e29b-41d4-a716-446655440004,10,MAT004-01,Server Unit,5,EA,12000.00,60000.00,2024-09-01,P003
a50e8400-e29b-41d4-a716-446655440008,750e8400-e29b-41d4-a716-446655440004,20,MAT004-02,Network Switch,10,EA,1500.00,15000.00,2024-09-05,P003
a50e8400-e29b-41d4-a716-446655440009,750e8400-e29b-41d4-a716-446655440005,10,MAT005-01,Office Desk,50,EA,600.00,30000.00,2024-10-01,P001
a50e8400-e29b-41d4-a716-446655440010,750e8400-e29b-41d4-a716-446655440005,20,MAT005-02,Office Chair,50,EA,200.00,10000.00,2024-10-01,P001
